id;create_date;rent_price;deposit;floor;area_total;rooms;region;repair_type;agent_fee
71;2021-12-06 04:05:38.269 +0300;67100.00;0.00;16;72.0;3;1;euro;50
72;2021-12-06 04:03:12.172 +0300;46000.00;10000.00;3;40.0;1;1;cosmetic;0
73;2021-12-06 03:59:45.255 +0300;65000.00;65000.00;16;58.5;2;1;cosmetic;0
74;2021-12-06 03:54:58.115 +0300;60000.00;60000.00;2;51.0;3;1;cosmetic;0
75;2021-12-06 03:48:53.439 +0300;60000.00;0.00;3;68.9;2;1;euro;50
76;2021-12-06 03:08:13.820 +0300;30000.00;30000.00;8;33.0;1;2;euro;0
77;2021-12-06 03:05:33.240 +0300;30000.00;20000.00;1;53.0;2;2;cosmetic;50
78;2021-12-06 03:03:20.445 +0300;28500.00;20000.00;19;40.0;1;2;design;0
79;2021-12-06 02:57:50.616 +0300;26000.00;26000.00;14;29.0;1;2;euro;0
80;2021-12-06 02:56:09.582 +0300;25000.00;25000.00;21;35.0;1;2;euro;0
81;2021-12-06 02:55:48.639 +0300;50000.00;50000.00;10;45.0;1;2;euro;100
82;2021-12-06 02:54:46.013 +0300;43000.00;25000.00;9;57.0;2;1;euro;50
83;2021-12-06 02:50:41.547 +0300;28000.00;28000.00;2;31.0;1;1;cosmetic;60
84;2021-12-06 02:22:35.612 +0300;35000.00;5000.00;14;20.0;1;1;cosmetic;0
85;2021-12-06 02:19:13.059 +0300;90000.00;90000.00;8;70.0;3;1;cosmetic;0
86;2021-12-06 02:19:06.850 +0300;35000.00;35000.00;3;35.0;1;1;cosmetic;45
87;2021-12-06 02:09:48.036 +0300;55000.00;55000.00;7;44.4;2;1;euro;0
88;2021-12-06 02:08:43.699 +0300;20000.00;20000.00;8;30.0;1;2;cosmetic;50
89;2021-12-06 02:05:17.728 +0300;15000.00;15000.00;2;37.0;1;2;cosmetic;0
90;2021-12-06 02:04:25.567 +0300;150000.00;150000.00;8;62.0;0;1;design;0
91;2021-12-06 02:04:24.942 +0300;150000.00;150000.00;2;61.0;2;1;cosmetic;0
92;2021-12-06 02:01:08.778 +0300;30000.00;10000.00;5;39.0;1;1;no;100
93;2021-12-06 02:01:07.955 +0300;30000.00;30000.00;1;34.0;1;1;cosmetic;80
94;2021-12-06 02:00:50.682 +0300;30000.00;30000.00;6;35.0;1;1;cosmetic;50
95;2021-12-06 02:00:25.109 +0300;32000.00;32000.00;7;33.0;1;1;cosmetic;0
96;2021-12-06 01:59:49.195 +0300;32000.00;32000.00;5;38.0;1;1;cosmetic;100
97;2021-12-06 01:59:16.894 +0300;64999.00;65000.00;4;67.0;2;2;euro;50
98;2021-12-06 01:58:58.387 +0300;150000.00;150000.00;2;146.0;3;1;design;0
99;2021-12-06 01:58:01.271 +0300;150000.00;150000.00;4;101.0;3;1;cosmetic;0
100;2021-12-06 01:57:38.431 +0300;31000.00;31000.00;14;36.0;1;1;cosmetic;100
101;2021-12-06 01:57:30.423 +0300;60000.00;40000.00;13;60.0;2;2;euro;100
102;2021-12-06 01:57:06.556 +0300;39000.00;39000.00;21;48.2;2;2;euro;0
103;2021-12-06 01:56:56.021 +0300;60000.00;;3;52.0;1;2;;
104;2021-12-06 01:55:50.895 +0300;170000.00;170000.00;3;83.0;3;1;cosmetic;0
105;2021-12-06 01:54:07.607 +0300;165000.00;165000.00;6;66.6;2;1;euro;0
106;2021-12-06 01:51:43.280 +0300;52000.00;52000.00;3;47.0;1;1;design;50
107;2021-12-06 01:49:05.360 +0300;90000.00;90000.00;3;95.0;3;1;design;50
108;2021-12-06 01:44:21.217 +0300;35000.00;35000.00;6;44.0;1;2;cosmetic;50
109;2021-12-06 01:43:03.993 +0300;35000.00;35000.00;9;75.0;2;2;cosmetic;0
110;2021-12-06 01:42:54.419 +0300;50000.00;50000.00;5;54.0;2;1;cosmetic;50
111;2021-12-06 01:41:15.508 +0300;130000.00;130000.00;9;90.0;3;1;design;0
112;2021-12-06 01:39:39.959 +0300;130000.00;130000.00;20;87.0;3;1;design;25
113;2021-12-06 01:38:13.022 +0300;100000.00;100000.00;2;54.0;2;1;euro;0
